VstGMC_0009,Vigna,subterranea,unspecified,Bambara groundnut,NGA9,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0144,Vigna,subterranea,unspecified,Bambara groundnut,GHA144,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0289,Vigna,subterranea,unspecified,Bambara groundnut,BEN289,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_1276,Vigna,subterranea,unspecified,Bambara groundnut,CAF1276,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0118,Vigna,subterranea,unspecified,Bambara groundnut,CIV118,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0476,Vigna,subterranea,unspecified,Bambara groundnut,CMR476,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0484,Vigna,subterranea,unspecified,Bambara groundnut,CMR484,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0536,Vigna,subterranea,unspecified,Bambara groundnut,CMR536,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0231,Vigna,subterranea,unspecified,Bambara groundnut,GHA231,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0790,Vigna,subterranea,unspecified,Bambara groundnut,KEN790,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0793,Vigna,subterranea,unspecified,Bambara groundnut,KEN793,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
VstGMC_0792,Vigna,subterranea,unspecified,Bambara groundnut,ZWE792,razlin.azman@cffresearch.org,NOTT,landrace,unspecified,unspecified,0,none,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublicaion,razlin.azman@cffresearch.org
