NGA9,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
GHA144,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
BEN289,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
CAF1276,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
CIV118,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
CMR476,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
CMR484,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
CMR536,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
GHA231,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
KEN790,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
KEN793,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
ZWE792,Vigna,subterranea,unspecified,unspecified,unspecified,annual,unspecified,0,landrace,razlin.azman@cffresearch.org,2014-04-04,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC | sean.mayes@cffresearch.org ,prepublication,razlin.azman@cffresearch.org,,,
