su_NOTT08_000900301_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_00301,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_014400401_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_00401,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_028900601_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_00601,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_127601001_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_01001,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_011802001_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_02001,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_047603001_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_03001,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_048403301_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_03301,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_053604001_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_04001,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_023104501_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_04501,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
su_NOTT08_079004801_01,nott_2008_uk_G100_01,df_NOTT_1,nott_OM08_04801,pp_01,1,3,unspecified,27/05/2008,unspecified,unspecified,0,odireleng.molosiwa@gmail.com,based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffesearch.org,prepublication,razlin.azman@cffresearch.org
