nott_VsSSR01_a01,nott_VsSSR01_v254,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR01_v255,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR01_v256,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR01_v257,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR01_v258,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR07_v210,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR07_v212,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR07_v214,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR01_a01,nott_VsSSR07_v216,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_VsSSR10_a01,nott_VsSSR10_v230,Variation of allele fragment size ,odireleng.molosiwa@gmail.com,1000-01-01,SSR marker,razlin.azman@cffresearch.org,2/06/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
