nott_OM08_00301,nott_VsSSR01_v254,occ_nott_OM1108_002,1,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR01_v255,occ_nott_OM1108_002,2,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR01_v256,occ_nott_OM1108_002,3,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR01_v257,occ_nott_OM1108_002,4,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR01_v258,occ_nott_OM1108_002,5,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR07_v210,occ_nott_OM1108_002,1,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR07_v212,occ_nott_OM1108_002,2,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR07_v214,occ_nott_OM1108_002,3,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR07_v216,occ_nott_OM1108_002,4,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_OM08_00301,nott_VsSSR10_v230,occ_nott_OM1108_002,5,unspecified,unspecified,unspecified,"SSR studies on 3 different plants of one single accessions -- labelled A, B or C",unspecified,21/07/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes",Sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
