nott_DAE_01_GH,Vegetative,Days to Emergence,days,Fully expanded leaf,Number of days from sowing to emergence of first fully expanded leaf,unspecified,Germination,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,count,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_DAF_01_GH,Vegetative,Days to 50% Flowering,days,Flower,Number of days from sowing to when first flower opens on 50% of plant,unspecified,Flowering ,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,count,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_DAM_01_GH,Vegetative,Days to Maturity,days,Whole Plant,Number of days from sowing to full maturity,unspecified,Full maturity,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,count,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_LFN_01_GH,Vegetative,Leaf number,number,Leaf,Total number of leaves per plant ,10WAP,10 WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,count,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_LFL_01_GH,Vegetative,leaflet length,millimeters (mm),Leaflet at fourth internode,Length of median leaflet at the fourth internode ,10WAP,10WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_LFW_01_GH,Vegetative,Leaflet width,millimeters (mm),Leaflet at fourth internode,Average width of three leaves at the fourth node of five healthy plants,10WAP,10WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_ITN_01_GH,Vegetative,Internode length,millimeters (mm),Fourth internode,"Length of fourth internode of the longest stem,",10WAP,10WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_PTL_01_GH,Vegetative,Petiole length,millimeters (mm),Longest stem of fourth node,Measure at the stem node to the junction of the three leaflets  at the longest stem at the fourth node ,10WAP,10 WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_PIT_01_GH,Vegetative,Petiole-internode ratio,ratio,unspecified,The ratio of measurement of the petiole to internode,Growth,Growth,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
nott_PLL_01_GH,Vegetative,Petiole length,millimeters (mm),Base of leaflet to longest petiolule,Recorded at the base of the leaflet of the longest petiolule at fourth internode ,10WAP,10WAP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,razlin.azman@cffresearch.org,1000-01-01,direct measurement,unspecified,unpecified,unspecified,unspecified,Based on IPGRI descriptor for Bambara groundnut,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",CFFRC| sean.mayes@cffresearch.org,prepublication,razlin.azman@cffresearch.org
